team,season,position_group,total_cap_allocated
BUF,2022,ST,4.444676
BUF,2022,TE,14.648638
BUF,2022,WR,35.822987
BUF,2023,CB_S,64.72905800000001
BUF,2023,DL,47.843076
BUF,2023,LB,25.785683
BUF,2023,OL,37.744727999999995
BUF,2023,QB,44.4485
BUF,2023,RB,8.367816
BUF,2023,ST,8.537299999999998
BUF,2023,TE,19.20726
BUF,2023,WR,37.791775
BUF,2024,CB_S,36.294305
BUF,2024,DL,67.507298
BUF,2024,LB,20.930856
BUF,2024,OL,36.520115
BUF,2024,QB,48.725
BUF,2024,RB,7.1821459999999995
BUF,2024,ST,10.247579
BUF,2024,TE,14.720094
BUF,2024,WR,41.37852
CAR,2013,CB_S,9.838924
CAR,2013,DL,8.453894
CAR,2013,LB,8.407476
CAR,2013,OL,15.491943
CAR,2013,QB,6.4113750000000005
CAR,2013,RB,6.399783
CAR,2013,ST,0.54467
CAR,2013,TE,5.7
CAR,2013,WR,2.4053500000000003
CAR,2014,CB_S,5.958617
CAR,2014,DL,22.105155
CAR,2014,LB,11.052476
CAR,2014,OL,12.926244
CAR,2014,QB,7.2965040000000005
CAR,2014,RB,13.133333
CAR,2014,ST,3.64467
CAR,2014,TE,6.495
CAR,2014,WR,4.416063
CAR,2015,CB_S,8.708617
CAR,2015,DL,16.596592
CAR,2015,LB,21.760628
CAR,2015,OL,14.948523999999999
CAR,2015,QB,23.518129000000002
CAR,2015,RB,10.411563000000001
CAR,2015,ST,4.389670000000001
CAR,2015,TE,9.766667
CAR,2015,WR,6.64025
CAR,2016,CB_S,14.917383
CAR,2016,DL,18.571784
CAR,2016,LB,23.528962
CAR,2016,OL,23.998748
CAR,2016,QB,23.94
CAR,2016,RB,10.101562999999999
CAR,2016,ST,7.595
CAR,2016,TE,10.261667
CAR,2016,WR,8.991285999999999
CAR,2017,CB_S,20.194882
CAR,2017,DL,42.16575
CAR,2017,LB,25.40697
CAR,2017,OL,41.481918
CAR,2017,QB,23.1324
CAR,2017,RB,11.666526
CAR,2017,ST,4.8574
CAR,2017,TE,12.126467
CAR,2017,WR,9.222304
CAR,2018,CB_S,21.198784
CAR,2018,DL,45.963284
CAR,2018,LB,25.060470000000002
CAR,2018,OL,42.522318
CAR,2018,QB,21.5666
CAR,2018,RB,9.180724999999999
CAR,2018,ST,11.101667
CAR,2018,TE,11.594498000000002
CAR,2018,WR,16.6982
CAR,2019,CB_S,23.28017
CAR,2019,DL,49.261551000000004
CAR,2019,LB,32.818942
CAR,2019,OL,40.957595999999995
CAR,2019,QB,22.657449000000003
CAR,2019,RB,10.047612
CAR,2019,ST,7.2749999999999995
CAR,2019,TE,11.632998
CAR,2019,WR,20.244911
CAR,2020,CB_S,31.255162
CAR,2020,DL,47.86309
CAR,2020,LB,32.254621
CAR,2020,OL,39.52816
CAR,2020,QB,23.589647000000003
CAR,2020,RB,20.07366
CAR,2020,ST,5.183334
CAR,2020,TE,2.7047980000000003
CAR,2020,WR,12.477810999999999
CAR,2021,CB_S,39.861458
CAR,2021,DL,27.504172
CAR,2021,LB,17.626666999999998
CAR,2021,OL,45.016299
CAR,2021,QB,16.925624
CAR,2021,RB,19.221142999999998
CAR,2021,ST,5.804443
CAR,2021,TE,3.556107
CAR,2021,WR,8.759098999999999
CAR,2022,CB_S,37.741555
