team,season,CB_S,DL,LB,OL,QB,RB,ST,TE,WR,total_cap,pct_CB_S,pct_DL,pct_LB,pct_OL,pct_QB,pct_RB,pct_ST,pct_TE,pct_WR,wins,games,point_diff,win_pct
ATL,2016,23.185536,29.670723,13.504099,31.98797,23.051474,4.233449,7.594583,4.763654,24.428651,162.420139,0.14275037654043626,0.1826788425541244,0.08314300851571121,0.19694583563926146,0.141924973971362,0.026064803453960842,0.04675887514170887,0.029329207752986836,0.15040407643044806,13,19,167.0,0.6842105263157895
ATL,2017,35.445437,32.724147,9.636037,28.174768,26.0874,11.502243,6.609583,6.466825,29.236851,185.88329099999999,0.19068651522852584,0.17604673784261762,0.05183917794956622,0.151572354074579,0.1403428993518304,0.06187884310699018,0.0355577037852208,0.034789705762203235,0.15728606289846678,11,18,46.0,0.6111111111111112
ATL,2018,44.414395,19.567601,5.39063,42.140651,34.573333000000005,13.522227,9.919083,3.896558,27.58027,201.004748,0.22096191976519877,0.09734894918999625,0.02681842122455734,0.20965002776949326,0.17200256881494164,0.06727317207452234,0.04934750596040647,0.01938540277665481,0.13721203242422908,7,16,-9.0,0.4375
ATL,2019,34.936784,37.017036,19.224882,50.29922,33.211,11.693309,10.250417,6.041842,28.662398,231.336888,0.15102124136812978,0.16001354699644788,0.08310340026705988,0.2174284457392718,0.14356119461587985,0.05054666854513924,0.04430947908316291,0.026117071307711202,0.12389895207719748,7,16,-18.0,0.4375
ATL,2020,22.632505,41.189074,17.711928,41.700152,32.705282,11.469742,5.449735,5.625675,29.442631,207.926724,0.10884846625102408,0.19809418052486605,0.08518350916739302,0.20055215220916,0.15729234497052913,0.05516242346991433,0.02620988247763669,0.027056045955882034,0.14160099497359463,4,16,-18.0,0.25
ATL,2021,16.466226,26.689585,19.614394,32.121436,32.738333,4.572555,3.2356,15.271065,10.671788,161.380982,0.10203324949404509,0.16538246743349228,0.12154092605533905,0.19904102454897693,0.20286363730269036,0.02833391483514458,0.020049450436483277,0.09462741402825273,0.06612791586557579,7,17,-146.0,0.4117647058823529
ATL,2022,24.068643,29.133081,7.178165,34.853021,11.668241,10.458843,9.734,11.11796,14.460452,152.672406,0.1576489401758691,0.19082086778667784,0.04701678049142685,0.22828631521009762,0.07642665302595678,0.06850512986610036,0.06375742843798506,0.07282232782785908,0.09471555717802732,7,17,-21.0,0.4117647058823529
ATL,2023,21.21051,46.804732,10.544261,63.980521,9.235741,16.132479,8.893132999999999,19.105961,17.856236,213.763574,0.0992241550003276,0.21895560185572122,0.04932674357325257,0.2993050677567732,0.043205401309392405,0.07546879338759559,0.041602658645668034,0.08937893693712289,0.0835326415341465,7,17,-52.0,0.4117647058823529
ATL,2024,47.802018,41.79773,12.752761,64.567868,82.193059,10.286738,10.043333,14.465791,30.231648,314.14094600000004,0.1521674223264101,0.13305406548307777,0.040595666252307004,0.20553789253566454,0.26164388961889734,0.03274561349286826,0.03197078613241331,0.0460487280763457,0.09623593608201586,8,17,-34.0,0.47058823529411764
BAL,2016,44.091922,8.154376,6.563033,19.140109,24.380833,2.52614,8.57,9.964025,14.469211,137.859649,0.3198319618527391,0.059149838688476564,0.04760662781028842,0.13883764494424325,0.17685256836828303,0.018323998489217102,0.0621646730001467,0.07227658761846986,0.10495609922813601,8,16,22.0,0.5
BAL,2017,44.437246,5.159249,7.289267,31.55447,25.138333,7.835894,9.125,4.454025,18.290611,153.28409500000004,0.2899012190403707,0.03365808435637108,0.04755396833572327,0.20585612616886306,0.16399831306698842,0.051120072177090504,0.05952998580837756,0.02905732000440097,0.11932491104181418,9,16,92.0,0.5625
BAL,2018,42.331652,14.923262,6.604342,22.927073,26.081246,3.15658,9.141333,5.819045,20.583021,151.567554,0.2792923081677494,0.09845947635996026,0.043573586996066456,0.1512663653594357,0.17207670976863557,0.02082622511675553,0.06031193853006297,0.03839241873626858,0.13580097096506552,10,17,96.0,0.5882352941176471
BAL,2019,71.92571799999999,19.240579,7.791333,26.989735,5.038085000000001,11.567414,10.54,9.758298,16.016752,178.86791399999998,0.40211637957604845,0.10756864420077042,0.043559142753797644,0.1508919872571444,0.028166510624146938,0.06467014536771531,0.0589261638059915,0.05455588865423902,0.0895451377601463,14,17,233.0,0.8235294117647058
BAL,2020,82.536876,36.108462,7.856217,29.788792,0.867936,11.851774,9.3478,10.130624,18.259102,206.74758300000002,0.39921567547418435,0.17464998369533538,0.03799907542329044,0.14408290325696332,0.0041980466586639615,0.05732484911323002,0.04521358781737245,0.04899996339981395,0.08831591516114602,12,18,158.0,0.6666666666666666
BAL,2021,55.473014,21.592095,9.559251,47.272471,1.3632,12.330041,8.943332999999999,22.628044,17.160062,196.32151100000002,0.2825620774689331,0.10998333748562071,0.04869181655799297,0.24079109191452788,0.006943711838077692,0.06280534892582403,0.04555452407861713,0.11526013570667759,0.08740795602372885,8,17,-5.0,0.47058823529411764
